"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C03974V04732","Reason for Vacancy","C04104V04868","County and City","UNIT","VALUE"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","IE0","State","Number","8373"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","81"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","802"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","199"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","150"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","113"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","149"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","138"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-148d-13a3-e055-000000000001","Laois","Number","119"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1490-13a3-e055-000000000001","Longford","Number","175"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1491-13a3-e055-000000000001","Louth","Number","181"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1494-13a3-e055-000000000001","Meath","Number","170"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","120"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","199"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","247"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","94"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","267"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","641"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","485"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","252"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","390"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","217"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","165"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","410"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","205"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","569"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","313"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","260"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","264"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","766"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","110","Rental Property","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","232"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","IE0","State","Number","7306"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","76"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","588"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","87"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","97"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","56"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","153"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","145"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-148d-13a3-e055-000000000001","Laois","Number","117"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-1490-13a3-e055-000000000001","Longford","Number","118"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-1491-13a3-e055-000000000001","Louth","Number","180"
"F2035C01","Vacant Houses/Apartments in 2016 and  2022","2022","2022","120","Renovation","2ae19629-1494-13a3-e055-000000000001","Meath","Number","135"
