"","date","country","iso3c","gdp_per_cap","pop_size","sec_enrol","mort","democracy","best"
"1","2020","Afghanistan","AFG",516.866797351726,38972230,NA,57.8,0,20834
"2","2019","Afghanistan","AFG",500.52298078433,37769499,NA,59.9,0,30435
"3","2018","Afghanistan","AFG",502.057099211089,36686784,57.0392990112305,62.2,0,26889
"4","2017","Afghanistan","AFG",530.14986261654,35643418,55.4021492004395,64.6,0,19776
"5","2016","Afghanistan","AFG",520.251954939821,34636207,53.5063400268555,67.2,0,18719
"6","2015","Afghanistan","AFG",592.476164793256,33753499,53.2851409912109,70.2,0,17992
"7","2014","Afghanistan","AFG",628.146803888496,32716210,54.235481262207,73.4,0,12549
"8","2013","Afghanistan","AFG",651.987861948108,31541209,54.7542190551758,76.8,0,8131
"9","2012","Afghanistan","AFG",663.141052810937,30466479,54.2063903808594,80.3,0,7783
"10","2011","Afghanistan","AFG",621.912413814308,29249157,52.198429107666,84,0,7563
"11","2010","Afghanistan","AFG",554.59473461788,28189672,50.413688659668,87.8,0,7151
"12","2009","Afghanistan","AFG",443.845150536332,27385307,44.3971710205078,91.8,0,6499
"13","2008","Afghanistan","AFG",387.849288097831,26427199,39.090030670166,95.9,0,5660
"14","2007","Afghanistan","AFG",375.07826147255,25903301,29.0891704559326,100,0,7025
"15","2006","Afghanistan","AFG",274.000655690946,25442944,29.6913509368896,104.3,0,4982
"16","2005","Afghanistan","AFG",255.055107095483,24411191,20.3119602203369,108.6,0,1711
"17","2004","Afghanistan","AFG",221.65766209292,23553551,19.2631397247314,112.8,0,817
"18","2003","Afghanistan","AFG",200.462375926026,22645130,14.078049659729,117,0,944
"19","2002","Afghanistan","AFG",183.532775237202,21000256,NA,121.2,0,1157
"20","2020","Brazil","BRA",6923.70019715065,213196304,104.125999450684,14.7,1,2522
"21","2019","Brazil","BRA",8845.3239312417,211782878,103.953277587891,14.9,1,1627
"22","2018","Brazil","BRA",9121.02009249958,210166592,105.00707244873,15.2,1,2390
"23","2017","Brazil","BRA",9896.7175109967,208504960,103.015960693359,15.4,1,2813
"24","2016","Brazil","BRA",8680.73542054827,206859578,102.569511413574,16.7,1,125
"25","2015","Brazil","BRA",8783.21441310718,205188205,100.920516967773,15.9,1,80
"26","2014","Brazil","BRA",12071.4046547485,203459650,102.635528564453,16.3,1,1
"27","2013","Brazil","BRA",12258.5648491717,201721767,103.917678833008,16.7,1,4
"28","2012","Brazil","BRA",12327.5155558345,199977707,94.3209762573242,17.2,1,273
"29","2011","Brazil","BRA",13200.5581661879,198185302,NA,17.9,1,34
"30","2010","Brazil","BRA",11249.2937410718,196353492,NA,18.6,1,4
"31","2009","Brazil","BRA",8569.90180523381,194517549,NA,19.6,1,40
"32","2008","Brazil","BRA",8801.75947547502,192672317,NA,20.6,1,20
"33","2007","Brazil","BRA",7323.19034003928,190779453,NA,21.8,1,40
"34","2006","Brazil","BRA",5866.02431314405,188820682,NA,23.2,1,22
"35","2005","Brazil","BRA",4773.26848028038,186797334,NA,24.8,1,60
